2000 -91909.70081610 -96601.22160505 4934.20473154 144.81605400 -387.49999659 0.1961 3.5690
2050 -91909.76912059 -96601.19188793 4934.18900503 144.86263296 -387.62887065 0.1949 3.5687
2100 -91909.84389816 -96601.15877982 4934.17151159 144.91350659 -387.77013651 0.1936 3.5685
2150 -91909.92684040 -96601.12141223 4934.15189730 144.97023122 -387.92755669 0.1921 3.5681
2200 -91910.01775624 -96601.07962582 4934.13011227 145.03277299 -388.10101568 0.1905 3.5678
2250 -91910.11640372 -96601.03326778 4934.10611179 145.10106614 -388.29031388 0.1888 3.5674
2300 -91910.22245984 -96600.98219219 4934.07985419 145.17499124 -388.49511308 0.1869 3.5669
2350 -91910.32831278 -96600.92988418 4934.05314308 145.24928954 -388.70086122 0.1850 3.5665
2400 -91910.41296744 -96600.88698141 4934.03115339 145.31018370 -388.86732311 0.1835 3.5662
2450 -91910.47351151 -96600.85591726 4934.01565538 145.35183629 -388.98508592 0.1824 3.5659
2500 -91910.53699389 -96600.82245124 4933.99869640 145.39822992 -389.11146898 0.1812 3.5656
2550 -91910.59959217 -96600.78937695 4933.98216066 145.44201116 -389.23438703 0.1801 3.5653
2600 -91910.66877194 -96600.75195714 4933.96339363 145.49188162 -389.37209005 0.1788 3.5650
2650 -91910.74061621 -96600.71234083 4933.94362939 145.54329043 -389.51519520 0.1775 3.5646
2700 -91910.81335956 -96600.67145387 4933.92325841 145.59576461 -389.66092871 0.1762 3.5643
2750 -91910.88804142 -96600.62878897 4933.90202977 145.65075262 -389.81203484 0.1749 3.5639
2800 -91910.96383541 -96600.58449579 4933.88005194 145.70666428 -389.96605584 0.1735 3.5635
2850 -91911.04562590 -96600.53565451 4933.85588139 145.76696699 -390.13281978 0.1720 3.5631
2900 -91911.12960502 -96600.48406577 4933.83029289 145.82938591 -390.30521805 0.1705 3.5626
2950 -91911.20079603 -96600.44052664 4933.80902785 145.88196913 -390.45126637 0.1692 3.5623
3000 -91911.26651813 -96600.39847239 4933.78823675 145.93050059 -390.58678308 0.1681 3.5619
3050 -91911.33492565 -96600.35450949 4933.76664096 145.98297538 -390.73003250 0.1668 3.5615
3100 -91911.40286672 -96600.30967264 4933.74452045 146.03427337 -390.87198790 0.1656 3.5611
3150 -91911.47349862 -96600.26235688 4933.72124401 146.08771314 -391.02009889 0.1643 3.5607
3200 -91911.54402867 -96600.21419690 4933.69761653 146.14139973 -391.16884803 0.1630 3.5603
3250 -91911.61187195 -96600.16672856 4933.67426448 146.19366115 -391.31306902 0.1618 3.5599
3300 -91911.67656024 -96600.12115739 4933.65187758 146.24341098 -391.45069141 0.1606 3.5595
3350 -91911.74225085 -96600.07281268 4933.62782929 146.29527773 -391.59254519 0.1594 3.5591
3400 -91911.80474267 -96600.02801202 4933.60608086 146.34308479 -391.72589631 0.1583 3.5587
3450 -91911.86248909 -96599.98528379 4933.58511702 146.38877606 -391.85109838 0.1572 3.5583
3500 -91911.91800865 -96599.94393503 4933.56492137 146.43236345 -391.97135844 0.1562 3.5579
3550 -91911.97027073 -96599.90327667 4933.54473891 146.47300316 -392.08473613 0.1553 3.5576
3600 -91912.02618544 -96599.85992418 4933.52338744 146.51713827 -392.20678697 0.1543 3.5572
3650 -91912.08445842 -96599.81403857 4933.50073223 146.56391588 -392.33506796 0.1532 3.5568
3700 -91912.14230710 -96599.76783786 4933.47794617 146.60984017 -392.46225558 0.1521 3.5564
3750 -91912.20445750 -96599.71744244 4933.45304561 146.65961498 -392.59967565 0.1510 3.5559
3800 -91912.27059536 -96599.66295243 4933.42608769 146.71283349 -392.74656412 0.1498 3.5554
3850 -91912.33575019 -96599.60840608 4933.39906220 146.76550661 -392.89191292 0.1487 3.5549
3900 -91912.39853076 -96599.55476692 4933.37243531 146.81689713 -393.03309627 0.1475 3.5544
3950 -91912.44931541 -96599.51116913 4933.35076276 146.85779342 -393.14670246 0.1466 3.5540
4000 -91912.49762800 -96599.46928755 4933.32997792 146.89667768 -393.25499606 0.1458 3.5536
